"","follow","Group.2","dist_btw_bouts","S_makan_cat","OH","Age.of.Youngest.Offspring"
"1",6302,"cat 1_2",128.505638690973,"cat 1_2","AY",5.569863014
"2",6302,"cat 4_5",132.534821592945,"cat 4_5","AY",5.569863014
"3",6302,"cat 2_3",50.9870031244534,"cat 2_3","AY",5.569863014
"4",6302,"cat 3_4",145.204781241998,"cat 3_4","AY",5.569863014
"5",6303,"cat 4_5",367.343749381933,"cat 4_5","AY",5.57260274
"6",6303,"cat 7_8",135.907927541757,"cat 7_8","AY",5.57260274
"7",6303,"cat 1_2",209.820871907142,"cat 1_2","AY",5.57260274
"8",6303,"cat 8_9",261.264920851493,"cat 8_9","AY",5.57260274
"9",6303,"cat 2_3",31.7983392275494,"cat 2_3","AY",5.57260274
"10",6303,"cat 6_7",63.5511797384492,"cat 6_7","AY",5.57260274
"11",6303,"cat 3_4",81.5497908219756,"cat 3_4","AY",5.57260274
"12",6303,"cat 5_6",109.940837835908,"cat 5_6","AY",5.57260274
"13",6306,"cat 1_2",234.378078173204,"cat 1_2","AY",5.575342466
"14",6306,"cat 2_3",79.2810156101509,"cat 2_3","AY",5.575342466
"15",6306,"cat 3_4",390.159036742375,"cat 3_4","AY",5.575342466
"16",6308,"cat 1_2",75.7218032156606,"cat 1_2","AY",5.578082192
"17",6308,"cat 2_3",67.0143111835451,"cat 2_3","AY",5.578082192
"18",6308,"cat 3_4",55.0984654139803,"cat 3_4","AY",5.578082192
"19",6308,"cat 7_8",348.172213788046,"cat 7_8","AY",5.578082192
"20",6308,"cat 4_5",46.5536408431604,"cat 4_5","AY",5.578082192
"21",6308,"cat 6_7",37.4725116526945,"cat 6_7","AY",5.578082192
"22",6308,"cat 5_6",119.223887390414,"cat 5_6","AY",5.578082192
"23",6310,"cat 3_4",22.5317620110752,"cat 3_4","AY",5.580821918
"24",6310,"cat 5_6",134.892898438293,"cat 5_6","AY",5.580821918
"25",6310,"cat 4_5",13.0636896517968,"cat 4_5","AY",5.580821918
"26",6310,"cat 7_8",49.0766709606203,"cat 7_8","AY",5.580821918
"27",6310,"cat 6_7",26.7920004807858,"cat 6_7","AY",5.580821918
