Age of Youngest Offspring,follow
4.71,3137
4.504109589,3086
8.043835616,2422
0.191780822,2415
5.328767123,2144
3.246575342,2067
3.194520548,1227
3.180821918,1215
3.156164384,1187
6.320547945,1078
6.295890411,1069
6.293150685,1068
0.942465753,2942
3.424657534,2154
3.290410959,2109
7.569863014,2008
3.197260274,1229
3.161643836,1193
3.15890411,1190
3.153424658,1184
6.304109589,1072
2.334246575,774
2.323287671,768
2.320547945,767
5.449315068,737
1.805479452,5950
3.712328767,5771
2.82739726,5570
3.416438356,2354
3.578082192,2345
3.345205479,2225
3.243835616,2141
3.145205479,1853
3.501369863,1398
2.339726027,1319
1.290410959,567
4.295890411,2846
0.684931507,2764
7.030136986,1523
6.276712329,1052
1.545205479,944
1.531506849,938
1.523287671,935
1.487671233,920
5.852054795,868
5.821917808,834
2.331506849,772
5.701369863,762
5.452054795,739
4.838356164,660
0.353424658,559
0.350684932,558
0.638356164,246
0.594520548,209
4.57260274,6043
5.909589041,5983
7.852054795,5953
1.8,5948
2.030136986,5930
2.024657534,5926
2.019178082,5922
2.008219178,5917
3.715068493,5772
3.709589041,5770
0.312328767,5492
0.306849315,5489
0.304109589,5488
1.989041096,4638
2.912328767,4613
3.898630137,4594
6.312328767,1075
6.197260274,990
0.643835616,4563
3.945205479,4540
7.063013699,4270
3.501369863,4229
6.75890411,4194
6.750684932,4185
6.432876712,4123
6.528767123,4071
4.731506849,4026
2.901369863,4021
5.97260274,3693
2.328767123,3613
1.449315068,3194
1.446575342,3191
1.44109589,3183
1.438356164,3179
1.378082192,3160
1.090410959,3009
1,2973
0.969863014,2959
4.235616438,2922
6.008219178,2889
6.005479452,2887
0.810958904,2854
0.542465753,2684
0.539726027,2680
3.852054795,2648
0.515068493,2646
0.495890411,2623
0.493150685,2619
0.484931507,2603
3.983561644,2597
0.479452055,2594
0.421917808,2558
0.408219178,2548
0.383561644,2530
0.345205479,2490
0.331506849,2479
0.320547945,2470
0.287671233,2448
0.208219178,2421
0.205479452,2420
3.512328767,2406
3.556164384,2383
0.068493151,2331
1.884931507,2307
1.882191781,2302
1.879452055,2297
0.043835616,2282
7.608219178,2027
7.57260274,2011
3.235616438,2002
7.55890411,1990
7.553424658,1980
7.454794521,1827
7.452054795,1824
3.479452055,1680
6.575342466,1602
0.452054795,1574
2.62739726,1570
6.550684932,1564
6.536986301,1533
0.430136986,1524
6.534246575,1526
3.512328767,1413
3.504109589,1402
2.583561644,1395
0.005479452,1225
6.594520548,1213
3.178082192,1212
6.578082192,1195
6.298630137,1070
6.290410959,1067
6.254794521,1030
6.24109589,1013
5.81369863,831
5.810958904,830
4.405479452,4580
4.4,4576
4.391780822,4573
4.260273973,4562
3.950684932,4548
3.734246575,4423
3.671232877,4373
3.605479452,4317
3.6,4310
3.591780822,4298
3.57260274,4287
3.567123288,4279
2.98630137,4055
2.97260274,4041
2.717808219,3876
2.668493151,3859
2.657534247,3846
2.64109589,3838
2.605479452,3811
2.520547945,3745
2.504109589,3722
2.460273973,3672
2.249315068,3557
2.104109589,3503
2.071232877,3480
2.008219178,3460
2,3454
1.997260274,3452
1.983561644,3440
1.967123288,3435
1.939726027,3423
1.915068493,3395
1.649315068,3234
1.054794521,2988
0.712328767,2796
0.679452055,2758
0.665753425,2744
0.660273973,2738
0.589041096,2731
0.583561644,2726
0.580821918,2723
0.520547945,2655
0.517808219,2650
0.506849315,2636
0.465753425,2582
0.397260274,2540
0.369863014,2517
0.367123288,2513
0.326027397,2475
0.282191781,2444
0.202739726,2419
0.18630137,2413
0.180821918,2409
0.161643836,2392
0.156164384,2388
0.150684932,2386
7.906849315,2341
0.032876712,2265
0.02739726,2257
0.016438356,2238
0.01369863,2233
7.621917808,2047
7.545205479,1965
7.509589041,1912
7.476712329,1854
7.463013699,1836
7.44109589,1817
7.435616438,1814
7.353424658,1761
7.350684932,1758
7.035616438,1537
7.032876712,1530
7.02739726,1517
7.024657534,1514
6.989041096,1472
6.602739726,1222
6.6,1220
6.583561644,1203
6.580821918,1199
6.575342466,1192
6.57260274,1189
6.567123288,1183
6.564383562,1181
6.561643836,1179
6.55890411,1177
6.556164384,1175
6.553424658,1174
6.550684932,1173
6.547945205,1171
6.545205479,1169
6.536986301,1164
6.490410959,1122
6.468493151,1115
