"","follow","Group.2","dist_btw_bouts","S_makan_cat","OH","Age.of.Youngest.Offspring"
"1",6121,"cat 1_2",66.8858230509659,"cat 1_2","DY",4.928767123
"2",6121,"cat 3_4",271.41292096455,"cat 3_4","DY",4.928767123
"3",6121,"cat 2_3",635.815255406481,"cat 2_3","DY",4.928767123
"4",6121,"cat 4_5",287.230223800451,"cat 4_5","DY",4.928767123
"5",6122,"cat 2_3",262.21410110351,"cat 2_3","DY",4.931506849
"6",6122,"cat 1_2",152.644650411764,"cat 1_2","DY",4.931506849
"7",6122,"cat 3_4",206.384192066196,"cat 3_4","DY",4.931506849
"8",6163,"cat 3_4",32.7234309892123,"cat 3_4","DY",5.115068493
"9",6163,"cat 12_13",133.056861997394,"cat 12_13","DY",5.115068493
"10",6163,"cat 11_12",94.4007116513147,"cat 11_12","DY",5.115068493
"11",6163,"cat 4_5",19.8559260586471,"cat 4_5","DY",5.115068493
"12",6163,"cat 9_10",17.9484331800105,"cat 9_10","DY",5.115068493
"13",6163,"cat 5_6",21.0787317862114,"cat 5_6","DY",5.115068493
"14",6163,"cat 10_11",34.3150851990681,"cat 10_11","DY",5.115068493
"15",6163,"cat 8_9",15.4773511797282,"cat 8_9","DY",5.115068493
"16",6163,"cat 1_2",77.2291634718943,"cat 1_2","DY",5.115068493
"17",6163,"cat 7_8",0,"cat 7_8","DY",5.115068493
"18",6163,"cat 2_3",20.6614641783473,"cat 2_3","DY",5.115068493
"19",6163,"cat 6_7",33.5414470451781,"cat 6_7","DY",5.115068493
"20",6283,"cat 8_9",151.149127022847,"cat 8_9","DY",5.405479452
"21",6283,"cat 3_4",95.4230245519396,"cat 3_4","DY",5.405479452
"22",6283,"cat 9_10",12.5649449379875,"cat 9_10","DY",5.405479452
"23",6283,"cat 1_2",43.2700377367494,"cat 1_2","DY",5.405479452
"24",6283,"cat 5_6",110.397540214185,"cat 5_6","DY",5.405479452
"25",6283,"cat 6_7",176.023097927261,"cat 6_7","DY",5.405479452
"26",6283,"cat 4_5",184.580286151989,"cat 4_5","DY",5.405479452
"27",6283,"cat 2_3",90.8400429765013,"cat 2_3","DY",5.405479452
"28",6283,"cat 7_8",642.421062676002,"cat 7_8","DY",5.405479452
"29",6416,"cat 1_2",147.418312670547,"cat 1_2","DY",5.756164384
"30",6416,"cat 3_4",510.32813178455,"cat 3_4","DY",5.756164384
"31",6416,"cat 2_3",255.608358083836,"cat 2_3","DY",5.756164384
"32",6419,"cat 2_3",161.338306083482,"cat 2_3","DY",5.75890411
"33",6419,"cat 3_4",593.110450825069,"cat 3_4","DY",5.75890411
"34",6419,"cat 4_5",82.7203130501361,"cat 4_5","DY",5.75890411
"35",6419,"cat 5_6",32.6371427571598,"cat 5_6","DY",5.75890411
"36",6419,"cat 1_2",208.498189292298,"cat 1_2","DY",5.75890411
"37",6435,"cat 1_2",249.608641362222,"cat 1_2","DY",5.82739726
"38",6436,"cat 4_5",367.649376220387,"cat 4_5","DY",5.830136986
"39",6436,"cat 5_6",70.747852847327,"cat 5_6","DY",5.830136986
"40",6436,"cat 2_3",407.656659900309,"cat 2_3","DY",5.830136986
"41",6436,"cat 8_9",157.034189902368,"cat 8_9","DY",5.830136986
"42",6436,"cat 7_8",180.051726230895,"cat 7_8","DY",5.830136986
"43",6436,"cat 6_7",116.948742958631,"cat 6_7","DY",5.830136986
"44",6436,"cat 9_10",204.755227377939,"cat 9_10","DY",5.830136986
"45",6436,"cat 3_4",25.126240608066,"cat 3_4","DY",5.830136986
"46",6436,"cat 1_2",645.86924977582,"cat 1_2","DY",5.830136986
"47",6439,"cat 11_12",142.362338455463,"cat 11_12","DY",5.832876712
"48",6439,"cat 4_5",84.0927067358077,"cat 4_5","DY",5.832876712
"49",6439,"cat 5_6",86.4870247732515,"cat 5_6","DY",5.832876712
"50",6439,"cat 9_10",57.6640879532314,"cat 9_10","DY",5.832876712
"51",6439,"cat 8_9",62.1687054838616,"cat 8_9","DY",5.832876712
"52",6439,"cat 7_8",24.5348990332094,"cat 7_8","DY",5.832876712
"53",6439,"cat 2_3",21.0989302386515,"cat 2_3","DY",5.832876712
"54",6439,"cat 1_2",457.145405953315,"cat 1_2","DY",5.832876712
"55",6439,"cat 10_11",392.56547321864,"cat 10_11","DY",5.832876712
"56",6439,"cat 6_7",143.91910711863,"cat 6_7","DY",5.832876712
"57",6439,"cat 3_4",78.8248490404484,"cat 3_4","DY",5.832876712
"58",6441,"cat 1_2",4.06241195099707,"cat 1_2","DY",5.84109589
"59",6441,"cat 2_3",26.2752553444322,"cat 2_3","DY",5.84109589
"60",6441,"cat 7_8",9.65747412324277,"cat 7_8","DY",5.84109589
"61",6441,"cat 5_6",120.481252652463,"cat 5_6","DY",5.84109589
"62",6441,"cat 4_5",12.3251504999789,"cat 4_5","DY",5.84109589
"63",6441,"cat 3_4",90.1715508033409,"cat 3_4","DY",5.84109589
"64",6441,"cat 6_7",52.0236422966001,"cat 6_7","DY",5.84109589
"65",6443,"cat 6_7",33.484101437327,"cat 6_7","DY",5.843835616
"66",6443,"cat 2_3",286.905953025717,"cat 2_3","DY",5.843835616
"67",6443,"cat 3_4",318.643093612838,"cat 3_4","DY",5.843835616
"68",6443,"cat 5_6",42.987862340415,"cat 5_6","DY",5.843835616
"69",6443,"cat 4_5",108.590183071673,"cat 4_5","DY",5.843835616
"70",6443,"cat 7_8",181.335906295506,"cat 7_8","DY",5.843835616
"71",6443,"cat 1_2",35.8493845991237,"cat 1_2","DY",5.843835616
"72",6458,"cat 6_7",24.7637252756526,"cat 6_7","DY",5.873972603
"73",6458,"cat 5_6",200.16385051106,"cat 5_6","DY",5.873972603
"74",6458,"cat 15_16",222.685403421238,"cat 15_16","DY",5.873972603
"75",6458,"cat 1_2",135.304333337602,"cat 1_2","DY",5.873972603
