"","follow","Group.2","dist_btw_bouts","S_makan_cat","OH","Age.of.Youngest.Offspring"
"1",6247,"cat 1_2",22.0035027689563,"cat 1_2","IN",6.82739726
"2",6247,"cat 5_6",295.969823021625,"cat 5_6","IN",6.82739726
"3",6247,"cat 4_5",31.0061215377855,"cat 4_5","IN",6.82739726
"4",6247,"cat 10_11",73.9177538555957,"cat 10_11","IN",6.82739726
"5",6247,"cat 2_3",59.6047030158784,"cat 2_3","IN",6.82739726
"6",6247,"cat 7_8",128.804517087468,"cat 7_8","IN",6.82739726
"7",6247,"cat 3_4",70.1016033969004,"cat 3_4","IN",6.82739726
"8",6247,"cat 6_7",76.2476290691194,"cat 6_7","IN",6.82739726
"9",6247,"cat 9_10",101.250260585995,"cat 9_10","IN",6.82739726
"10",6247,"cat 8_9",39.2027206892344,"cat 8_9","IN",6.82739726
"11",6249,"cat 1_2",52.7200973311256,"cat 1_2","IN",6.830136986
"12",6249,"cat 2_3",362.325420505282,"cat 2_3","IN",6.830136986
"13",6249,"cat 4_5",0,"cat 4_5","IN",6.830136986
"14",6249,"cat 6_7",48.5565860188918,"cat 6_7","IN",6.830136986
"15",6249,"cat 5_6",109.681233360042,"cat 5_6","IN",6.830136986
"16",6249,"cat 7_8",34.2722721161499,"cat 7_8","IN",6.830136986
"17",6249,"cat 3_4",46.0704424978397,"cat 3_4","IN",6.830136986
"18",6249,"cat 8_9",65.740934907928,"cat 8_9","IN",6.830136986
"19",6250,"cat 1_2",50.0772477035529,"cat 1_2","IN",6.832876712
"20",6250,"cat 5_6",24.145447903967,"cat 5_6","IN",6.832876712
"21",6250,"cat 4_5",242.63122301103,"cat 4_5","IN",6.832876712
"22",6250,"cat 3_4",31.9254009716554,"cat 3_4","IN",6.832876712
"23",6250,"cat 2_3",46.6754066436003,"cat 2_3","IN",6.832876712
