"","follow","Group.2","dist_btw_bouts","S_makan_cat","OH","Age.of.Youngest.Offspring"
"1",7277,"cat 6_7",90.7797398839159,"cat 6_7","JT",8.323287671
"2",7277,"cat 2_3",30.8714835635789,"cat 2_3","JT",8.323287671
"3",7277,"cat 1_2",83.6800579113268,"cat 1_2","JT",8.323287671
"4",7277,"cat 3_4",159.714438948704,"cat 3_4","JT",8.323287671
"5",7277,"cat 5_6",64.5741625825717,"cat 5_6","JT",8.323287671
"6",7277,"cat 4_5",133.830733903025,"cat 4_5","JT",8.323287671
"7",7283,"cat 6_7",23.5492473584954,"cat 6_7","JT",8.334246575
"8",7283,"cat 11_12",220.747951624682,"cat 11_12","JT",8.334246575
"9",7283,"cat 1_2",90.5742793694545,"cat 1_2","JT",8.334246575
"10",7283,"cat 10_11",49.1211070402502,"cat 10_11","JT",8.334246575
"11",7283,"cat 3_4",238.384400643863,"cat 3_4","JT",8.334246575
"12",7283,"cat 8_9",42.7064565281336,"cat 8_9","JT",8.334246575
"13",7283,"cat 5_6",19.0741285357638,"cat 5_6","JT",8.334246575
"14",7283,"cat 4_5",19.4801412059304,"cat 4_5","JT",8.334246575
"15",7283,"cat 7_8",34.2389867573979,"cat 7_8","JT",8.334246575
"16",7283,"cat 2_3",151.269115752871,"cat 2_3","JT",8.334246575
"17",7283,"cat 9_10",296.990548852655,"cat 9_10","JT",8.334246575
"18",7285,"cat 11_12",93.9847510505115,"cat 11_12","JT",8.336986301
"19",7285,"cat 14_15",189.206930541258,"cat 14_15","JT",8.336986301
"20",7285,"cat 1_2",139.271374185485,"cat 1_2","JT",8.336986301
"21",7285,"cat 15_16",50.0584219615618,"cat 15_16","JT",8.336986301
"22",7285,"cat 16_17",66.6591942998743,"cat 16_17","JT",8.336986301
"23",7285,"cat 13_14",12.0060733349841,"cat 13_14","JT",8.336986301
"24",7285,"cat 4_5",52.6130755020711,"cat 4_5","JT",8.336986301
"25",7285,"cat 2_3",255.262624219509,"cat 2_3","JT",8.336986301
"26",7285,"cat 6_7",116.784796277973,"cat 6_7","JT",8.336986301
"27",7285,"cat 5_6",21.4482288421978,"cat 5_6","JT",8.336986301
"28",7285,"cat 7_8",8.39172025110714,"cat 7_8","JT",8.336986301
"29",7285,"cat 3_4",28.946609231637,"cat 3_4","JT",8.336986301
"30",7285,"cat 8_9",30.0543711304293,"cat 8_9","JT",8.336986301
"31",7285,"cat 12_13",0,"cat 12_13","JT",8.336986301
"32",7285,"cat 9_10",176.422258588707,"cat 9_10","JT",8.336986301
