"","follow","Group.2","dist_btw_bouts","S_makan_cat","OH","Age.of.Youngest.Offspring"
"1",8448,"cat 1_2",39.1877997857367,"cat 1_2","TE",0.326027397
"2",8448,"cat 2_3",229.640901587402,"cat 2_3","TE",0.326027397
"3",8453,"cat 4_5",70.2052268216282,"cat 4_5","TE",0.328767123
"4",8453,"cat 6_7",12.7226448172027,"cat 6_7","TE",0.328767123
"5",8453,"cat 5_6",50.6238001291167,"cat 5_6","TE",0.328767123
"6",8453,"cat 1_2",113.86394455083,"cat 1_2","TE",0.328767123
"7",8453,"cat 2_3",31.5085324411116,"cat 2_3","TE",0.328767123
"8",8453,"cat 3_4",155.835949055508,"cat 3_4","TE",0.328767123
"9",8456,"cat 4_5",86.2498748184442,"cat 4_5","TE",0.331506849
"10",8456,"cat 5_6",108.724036212229,"cat 5_6","TE",0.331506849
"11",8456,"cat 1_2",47.0291208411153,"cat 1_2","TE",0.331506849
"12",8456,"cat 2_3",65.9013826170403,"cat 2_3","TE",0.331506849
"13",8456,"cat 3_4",185.965386119279,"cat 3_4","TE",0.331506849
"14",8461,"cat 4_5",112.112259710173,"cat 4_5","TE",0.334246575
"15",8461,"cat 2_3",359.776371159841,"cat 2_3","TE",0.334246575
"16",8461,"cat 1_2",159.855803425914,"cat 1_2","TE",0.334246575
"17",8461,"cat 3_4",221.397363370002,"cat 3_4","TE",0.334246575
"18",8463,"cat 2_3",27.0681174195068,"cat 2_3","TE",0.336986301
"19",8463,"cat 3_4",21.4768075408507,"cat 3_4","TE",0.336986301
"20",8463,"cat 1_2",150.590533262059,"cat 1_2","TE",0.336986301
