"","follow","Group.2","dist_btw_bouts","S_makan_cat","OH","Age.of.Youngest.Offspring"
"1",6582,"cat 4_5",121.564053190451,"cat 4_5","VI",2.805479452
"2",6582,"cat 5_6",47.64989165679,"cat 5_6","VI",2.805479452
"3",6582,"cat 6_7",56.2109870151387,"cat 6_7","VI",2.805479452
"4",6582,"cat 3_4",63.4604924156059,"cat 3_4","VI",2.805479452
"5",6582,"cat 8_9",119.978603400551,"cat 8_9","VI",2.805479452
"6",6582,"cat 1_2",94.2931249789347,"cat 1_2","VI",2.805479452
"7",6582,"cat 2_3",64.1165596009866,"cat 2_3","VI",2.805479452
"8",6582,"cat 7_8",117.737964613198,"cat 7_8","VI",2.805479452
"9",6584,"cat 2_3",258.172529238614,"cat 2_3","VI",2.808219178
"10",6584,"cat 4_5",143.680964274011,"cat 4_5","VI",2.808219178
"11",6584,"cat 6_7",119.601480340659,"cat 6_7","VI",2.808219178
"12",6584,"cat 1_2",241.50180159032,"cat 1_2","VI",2.808219178
"13",6584,"cat 5_6",218.570551764854,"cat 5_6","VI",2.808219178
"14",6584,"cat 3_4",59.3479972104071,"cat 3_4","VI",2.808219178
"15",6586,"cat 2_3",203.84915724665,"cat 2_3","VI",2.810958904
"16",6586,"cat 7_8",8.96631746294645,"cat 7_8","VI",2.810958904
"17",6586,"cat 3_4",0.432705250280814,"cat 3_4","VI",2.810958904
"18",6586,"cat 8_9",45.6730145911423,"cat 8_9","VI",2.810958904
"19",6586,"cat 5_6",344.952868763553,"cat 5_6","VI",2.810958904
"20",6586,"cat 1_2",78.4407247891076,"cat 1_2","VI",2.810958904
"21",6586,"cat 4_5",20.7454542211748,"cat 4_5","VI",2.810958904
"22",6586,"cat 6_7",269.430244510819,"cat 6_7","VI",2.810958904
"23",6590,"cat 1_2",141.204445740781,"cat 1_2","VI",2.81369863
"24",6590,"cat 2_3",53.9556430703273,"cat 2_3","VI",2.81369863
"25",6590,"cat 6_7",37.0685434984584,"cat 6_7","VI",2.81369863
"26",6590,"cat 5_6",55.7526691589635,"cat 5_6","VI",2.81369863
"27",6590,"cat 3_4",114.607214699956,"cat 3_4","VI",2.81369863
"28",6590,"cat 10_11",32.9145286439454,"cat 10_11","VI",2.81369863
"29",6590,"cat 7_8",28.2140497323919,"cat 7_8","VI",2.81369863
"30",6590,"cat 4_5",25.5643277621356,"cat 4_5","VI",2.81369863
"31",6590,"cat 8_9",124.297012253641,"cat 8_9","VI",2.81369863
"32",6590,"cat 9_10",82.0249368622644,"cat 9_10","VI",2.81369863
"33",7020,"cat 1_2",21.2890435032586,"cat 1_2","VI",4.293150685
"34",7020,"cat 2_3",204.918301551527,"cat 2_3","VI",4.293150685
"35",7020,"cat 3_4",79.893213831028,"cat 3_4","VI",4.293150685
"36",7021,"cat 11_12",47.3012245183245,"cat 11_12","VI",4.295890411
"37",7021,"cat 2_3",58.0224137606268,"cat 2_3","VI",4.295890411
"38",7021,"cat 16_17",60.840120690715,"cat 16_17","VI",4.295890411
"39",7021,"cat 6_7",26.8971984018902,"cat 6_7","VI",4.295890411
"40",7021,"cat 13_14",123.116362187546,"cat 13_14","VI",4.295890411
"41",7021,"cat 3_4",31.6539070011774,"cat 3_4","VI",4.295890411
"42",7021,"cat 12_13",21.7246875599032,"cat 12_13","VI",4.295890411
"43",7021,"cat 5_6",199.535142572582,"cat 5_6","VI",4.295890411
"44",7021,"cat 7_8",34.5819345842848,"cat 7_8","VI",4.295890411
"45",7021,"cat 9_10",73.6990485341028,"cat 9_10","VI",4.295890411
"46",7021,"cat 15_16",11.3059950819167,"cat 15_16","VI",4.295890411
"47",7021,"cat 14_15",198.258513233399,"cat 14_15","VI",4.295890411
"48",7021,"cat 1_2",84.1270281909851,"cat 1_2","VI",4.295890411
"49",7021,"cat 8_9",46.8155989109605,"cat 8_9","VI",4.295890411
"50",7021,"cat 4_5",141.177291593798,"cat 4_5","VI",4.295890411
"51",7021,"cat 10_11",85.7676970286012,"cat 10_11","VI",4.295890411
"52",7026,"cat 4_5",10.5893642227711,"cat 4_5","VI",4.301369863
"53",7026,"cat 6_7",33.1704050094943,"cat 6_7","VI",4.301369863
"54",7026,"cat 1_2",29.687245260728,"cat 1_2","VI",4.301369863
"55",7026,"cat 5_6",110.168387503517,"cat 5_6","VI",4.301369863
"56",7026,"cat 3_4",42.3604092139217,"cat 3_4","VI",4.301369863
"57",7026,"cat 7_8",56.5864946915294,"cat 7_8","VI",4.301369863
"58",7026,"cat 8_9",177.776405327593,"cat 8_9","VI",4.301369863
"59",7026,"cat 2_3",20.3832527082585,"cat 2_3","VI",4.301369863
"60",7029,"cat 7_8",37.3844139900189,"cat 7_8","VI",4.304109589
"61",7029,"cat 11_12",62.5070823242478,"cat 11_12","VI",4.304109589
"62",7029,"cat 12_13",78.0628916900268,"cat 12_13","VI",4.304109589
"63",7029,"cat 5_6",30.5308023706143,"cat 5_6","VI",4.304109589
"64",7029,"cat 8_9",28.1528463630483,"cat 8_9","VI",4.304109589
"65",7029,"cat 4_5",43.1286518283583,"cat 4_5","VI",4.304109589
"66",7029,"cat 6_7",55.2869972298505,"cat 6_7","VI",4.304109589
"67",7029,"cat 1_2",62.7402894061072,"cat 1_2","VI",4.304109589
"68",7029,"cat 10_11",63.0408372514826,"cat 10_11","VI",4.304109589
"69",7029,"cat 3_4",46.9147772524201,"cat 3_4","VI",4.304109589
"70",7029,"cat 13_14",339.604768613411,"cat 13_14","VI",4.304109589
"71",7029,"cat 2_3",43.2756525284873,"cat 2_3","VI",4.304109589
"72",7029,"cat 9_10",136.405442422074,"cat 9_10","VI",4.304109589
"73",7031,"cat 4_5",187.128126216518,"cat 4_5","VI",4.306849315
"74",7031,"cat 6_7",23.3760496005921,"cat 6_7","VI",4.306849315
"75",7031,"cat 1_2",55.4300099967262,"cat 1_2","VI",4.306849315
"76",7031,"cat 3_4",250.334089666732,"cat 3_4","VI",4.306849315
"77",7031,"cat 5_6",48.6162090649145,"cat 5_6","VI",4.306849315
"78",7031,"cat 2_3",62.6086230014075,"cat 2_3","VI",4.306849315
"79",7082,"cat 1_2",84.84814362495,"cat 1_2","VI",4.545205479
"80",7082,"cat 2_3",175.890173283496,"cat 2_3","VI",4.545205479
"81",7083,"cat 3_4",79.3770369035134,"cat 3_4","VI",4.547945205
"82",7083,"cat 5_6",83.0245078995675,"cat 5_6","VI",4.547945205
"83",7083,"cat 6_7",29.5816830286652,"cat 6_7","VI",4.547945205
"84",7083,"cat 8_9",82.6621421832516,"cat 8_9","VI",4.547945205
"85",7083,"cat 4_5",71.56287833747,"cat 4_5","VI",4.547945205
"86",7083,"cat 13_14",20.4223906797131,"cat 13_14","VI",4.547945205
"87",7083,"cat 9_10",55.5766889172156,"cat 9_10","VI",4.547945205
"88",7083,"cat 1_2",57.7903643474717,"cat 1_2","VI",4.547945205
"89",7083,"cat 11_12",72.1381281177407,"cat 11_12","VI",4.547945205
"90",7083,"cat 2_3",61.4350246774796,"cat 2_3","VI",4.547945205
"91",7083,"cat 12_13",39.3650299309388,"cat 12_13","VI",4.547945205
"92",7083,"cat 7_8",56.571177685024,"cat 7_8","VI",4.547945205
"93",7083,"cat 14_15",119.066429072075,"cat 14_15","VI",4.547945205
"94",7083,"cat 10_11",15.875641208052,"cat 10_11","VI",4.547945205
"95",7083,"cat 15_16",70.3602340221838,"cat 15_16","VI",4.547945205
"96",7099,"cat 5_6",111.00125394127,"cat 5_6","VI",4.583561644
"97",7099,"cat 4_5",38.9217351675282,"cat 4_5","VI",4.583561644
"98",7099,"cat 1_2",47.4383729455996,"cat 1_2","VI",4.583561644
"99",7099,"cat 6_7",186.032630364936,"cat 6_7","VI",4.583561644
"100",7099,"cat 3_4",61.9414849560804,"cat 3_4","VI",4.583561644
"101",7099,"cat 2_3",115.086196536348,"cat 2_3","VI",4.583561644
"102",7100,"cat 4_5",27.9053148514376,"cat 4_5","VI",4.58630137
"103",7100,"cat 8_9",190.34221690202,"cat 8_9","VI",4.58630137
"104",7100,"cat 10_11",102.681922585222,"cat 10_11","VI",4.58630137
"105",7100,"cat 6_7",66.6311271521253,"cat 6_7","VI",4.58630137
"106",7100,"cat 5_6",197.643854003487,"cat 5_6","VI",4.58630137
"107",7100,"cat 13_14",0,"cat 13_14","VI",4.58630137
"108",7100,"cat 3_4",143.9627644413,"cat 3_4","VI",4.58630137
"109",7100,"cat 1_2",48.5953420294564,"cat 1_2","VI",4.58630137
"110",7100,"cat 9_10",100.783052221438,"cat 9_10","VI",4.58630137
"111",7100,"cat 7_8",23.5545930767736,"cat 7_8","VI",4.58630137
"112",7100,"cat 12_13",56.8185692044336,"cat 12_13","VI",4.58630137
"113",7100,"cat 11_12",407.919556337704,"cat 11_12","VI",4.58630137
"114",7100,"cat 2_3",77.1625297891953,"cat 2_3","VI",4.58630137
"115",7103,"cat 6_7",108.679081625984,"cat 6_7","VI",4.589041096
"116",7103,"cat 4_5",56.9760822816227,"cat 4_5","VI",4.589041096
"117",7103,"cat 7_8",34.1552573244716,"cat 7_8","VI",4.589041096
"118",7103,"cat 5_6",80.0308474684934,"cat 5_6","VI",4.589041096
"119",7103,"cat 1_2",35.6228819003845,"cat 1_2","VI",4.589041096
"120",7103,"cat 8_9",169.38076317034,"cat 8_9","VI",4.589041096
"121",7103,"cat 9_10",105.912832265386,"cat 9_10","VI",4.589041096
"122",7103,"cat 3_4",65.9276324812967,"cat 3_4","VI",4.589041096
"123",7103,"cat 12_13",47.5985483788535,"cat 12_13","VI",4.589041096
"124",7103,"cat 10_11",100.122093274799,"cat 10_11","VI",4.589041096
"125",7103,"cat 11_12",44.0789536500247,"cat 11_12","VI",4.589041096
"126",7103,"cat 2_3",117.117422335244,"cat 2_3","VI",4.589041096
"127",7107,"cat 4_5",18.0026017400969,"cat 4_5","VI",4.591780822
"128",7107,"cat 14_15",52.5173425531467,"cat 14_15","VI",4.591780822
"129",7107,"cat 13_14",53.7308063394391,"cat 13_14","VI",4.591780822
"130",7107,"cat 7_8",23.0845164697798,"cat 7_8","VI",4.591780822
"131",7107,"cat 12_13",86.4686490237805,"cat 12_13","VI",4.591780822
"132",7107,"cat 3_4",56.7375819427051,"cat 3_4","VI",4.591780822
"133",7107,"cat 8_9",79.7397321621001,"cat 8_9","VI",4.591780822
"134",7107,"cat 9_10",26.5396871939287,"cat 9_10","VI",4.591780822
"135",7107,"cat 11_12",30.3112421127553,"cat 11_12","VI",4.591780822
"136",7107,"cat 1_2",13.2574628898831,"cat 1_2","VI",4.591780822
"137",7107,"cat 5_6",13.3902736055471,"cat 5_6","VI",4.591780822
"138",7107,"cat 16_17",49.5760210588064,"cat 16_17","VI",4.591780822
"139",7107,"cat 6_7",146.993100874891,"cat 6_7","VI",4.591780822
"140",7107,"cat 10_11",70.2053448550522,"cat 10_11","VI",4.591780822
"141",7107,"cat 15_16",33.8794147770924,"cat 15_16","VI",4.591780822
"142",7107,"cat 2_3",25.6515685596696,"cat 2_3","VI",4.591780822
"143",7110,"cat 1_2",0,"cat 1_2","VI",4.594520548
"144",7110,"cat 6_7",87.6608463913097,"cat 6_7","VI",4.594520548
"145",7110,"cat 3_4",58.0153667063434,"cat 3_4","VI",4.594520548
"146",7110,"cat 10_11",97.7890776024586,"cat 10_11","VI",4.594520548
"147",7110,"cat 8_9",49.7549883893213,"cat 8_9","VI",4.594520548
"148",7110,"cat 7_8",102.516651591021,"cat 7_8","VI",4.594520548
"149",7110,"cat 12_13",24.247577918373,"cat 12_13","VI",4.594520548
"150",7110,"cat 2_3",23.3140025753169,"cat 2_3","VI",4.594520548
"151",7110,"cat 5_6",85.6826431754467,"cat 5_6","VI",4.594520548
"152",7110,"cat 13_14",13.8297235408147,"cat 13_14","VI",4.594520548
"153",7110,"cat 11_12",60.0298942952151,"cat 11_12","VI",4.594520548
"154",7110,"cat 4_5",61.1834341820692,"cat 4_5","VI",4.594520548
"155",7110,"cat 9_10",174.728354617149,"cat 9_10","VI",4.594520548
