"","follow","Group.2","dist_btw_bouts","S_makan_cat","OH","Age.of.Youngest.Offspring"
"1",6715,"cat 1_2",60.0250325634147,"cat 1_2","WA",0.02739726
"2",6715,"cat 3_4",59.3208321113167,"cat 3_4","WA",0.02739726
"3",6715,"cat 2_3",24.9856238130706,"cat 2_3","WA",0.02739726
"4",6715,"cat 4_5",27.9901173952812,"cat 4_5","WA",0.02739726
"5",6716,"cat 3_4",126.500033543699,"cat 3_4","WA",0.030136986
"6",6716,"cat 1_2",178.256549719508,"cat 1_2","WA",0.030136986
"7",6716,"cat 2_3",34.0075455574667,"cat 2_3","WA",0.030136986
"8",6716,"cat 4_5",299.036136138975,"cat 4_5","WA",0.030136986
"9",6717,"cat 4_5",279.920415834141,"cat 4_5","WA",0.032876712
"10",6717,"cat 2_3",53.4974619237599,"cat 2_3","WA",0.032876712
"11",6717,"cat 6_7",378.243951485408,"cat 6_7","WA",0.032876712
"12",6717,"cat 7_8",22.1153956204971,"cat 7_8","WA",0.032876712
"13",6717,"cat 8_9",58.4807527621897,"cat 8_9","WA",0.032876712
"14",6717,"cat 1_2",191.51212797166,"cat 1_2","WA",0.032876712
"15",6717,"cat 5_6",23.8921715941169,"cat 5_6","WA",0.032876712
"16",6717,"cat 3_4",194.198798289544,"cat 3_4","WA",0.032876712
"17",6718,"cat 2_3",135.146984633912,"cat 2_3","WA",0.035616438
"18",6718,"cat 5_6",67.3122514446263,"cat 5_6","WA",0.035616438
"19",6718,"cat 8_9",64.1718072112966,"cat 8_9","WA",0.035616438
"20",6718,"cat 1_2",492.469656858522,"cat 1_2","WA",0.035616438
"21",6718,"cat 9_10",107.732809885056,"cat 9_10","WA",0.035616438
"22",6718,"cat 3_4",100.422152336389,"cat 3_4","WA",0.035616438
"23",6718,"cat 10_11",241.368681262613,"cat 10_11","WA",0.035616438
"24",6718,"cat 12_13",71.7530203978388,"cat 12_13","WA",0.035616438
"25",6718,"cat 4_5",8.74401354971669,"cat 4_5","WA",0.035616438
"26",6718,"cat 6_7",140.65816372471,"cat 6_7","WA",0.035616438
"27",6718,"cat 11_12",143.514896825636,"cat 11_12","WA",0.035616438
"28",6718,"cat 7_8",262.538596039129,"cat 7_8","WA",0.035616438
"29",6719,"cat 2_3",221.854666154233,"cat 2_3","WA",0.038356164
"30",6719,"cat 1_2",275.832406932154,"cat 1_2","WA",0.038356164
"31",6720,"cat 4_5",160.706959225365,"cat 4_5","WA",0.04109589
"32",6720,"cat 3_4",142.213945200188,"cat 3_4","WA",0.04109589
